playerId,goalieFullName,gamesStarted,goalsAgainst,savePct,goalsAgainstAverage,shutouts,wins,qualityStart,qualityStartsPct,gamesRelievedWins,Vezina Trophies,Stanley Cups,Conn Smythe Trophies,William M. Jennings Trophies,All Stars,Score,Log_Score
8456692,Arturs Irbe,537,1513,0.89935,2.83115,33,218,268,0.499068,4,0,0,0,0,2,3.774627903320208,1.5633160448900654
8460806,Dwayne Roloson,556,1552,0.90839,2.71517,29,227,319,0.573741,2,0,0,0,0,1,3.758184713328259,1.559866232759899
8451837,Ron Tugnutt,489,1497,0.89457,3.04659,26,186,232,0.474437,7,0,0,0,0,1,3.74410985624838,1.5569038183093442
8477424,Juuse Saros,333,878,0.91703,2.62798,23,182,210,0.63063,1,0,0,0,0,2,3.728695238550537,1.553649316364193
8449853,Gerry Cheevers,407,1174,0.90065,2.88989,26,227,207,0.508599,0,0,2,0,0,1,3.722736640381126,1.55238842827122
8456137,Mike Dunham,367,989,0.90757,2.74044,19,141,207,0.564032,3,0,0,0,1,0,3.7039103270998686,1.5483941472980978
8475852,Petr Mrazek,359,1018,0.9073,2.80101,25,168,199,0.554317,4,0,0,0,0,0,3.6697012929562005,1.5410951066706773
8457714,Felix Potvin,620,1694,0.90517,2.76447,32,266,338,0.545161,0,0,0,0,0,2,3.66508111065362,1.5401052212121666
8449474,Kirk McLean,578,1904,0.88711,3.2599,22,245,255,0.441176,6,0,0,0,0,2,3.6351415746625366,1.5336667432466002
8458075,Garth Snow,321,925,0.90051,2.79767,16,135,164,0.510903,5,0,0,0,0,0,3.57399569937966,1.5203871553683284
8447715,Guy Hebert,467,1307,0.90923,2.81194,28,191,251,0.537473,2,0,0,0,0,1,3.5419077650325206,1.5133471363509128
8445381,Don Beaupre,620,2151,0.88481,3.45589,17,268,249,0.401612,6,0,0,0,0,2,3.512348646386749,1.506817782129563
8474593,Jacob Markstrom,468,1265,0.90894,2.72682,20,215,266,0.568376,1,0,0,0,0,0,3.5034409734703917,1.5048417653433732
8448020,Kelly Hrudey,625,2174,0.89296,3.42733,17,271,281,0.4496,5,0,0,0,0,0,3.490727215208334,1.5020146519375939
8450020,Cesare Maniago,545,1773,0.90141,3.26898,30,190,279,0.511926,3,0,0,0,0,0,3.4265040677621004,1.487610123025305
8469514,Peter Budaj,329,909,0.90381,2.69791,18,158,170,0.516717,2,0,0,0,0,0,3.4165087335272784,1.485349504678119
8446831,Stephane Fiset,365,1114,0.89944,3.0682,16,164,186,0.509589,2,0,1,0,0,0,3.4156585193614744,1.4851569779416824
8455994,Byron Dafoe,399,1051,0.90355,2.68584,26,171,225,0.563909,0,0,0,0,0,0,3.4103860486732076,1.4839622250090863
8445609,Dan Bouchard,638,2063,0.88994,3.26512,27,286,286,0.448275,2,0,0,0,0,0,3.3850162863218416,1.4781933399157308
8452287,Rick Wamsley,391,1287,0.88108,3.34336,12,204,151,0.386189,4,0,1,0,1,0,3.383794697212315,1.4779147185337158
8448759,Rejean Lemelin,461,1609,0.88406,3.45865,12,236,200,0.433839,5,0,0,0,1,0,3.379640114534013,1.4769665553810705
8449550,Gilles Meloche,757,2755,0.88469,3.64721,20,270,312,0.412153,3,0,0,0,0,2,3.365812991761841,1.4738044243569501
8451860,Chris Terreri,360,1143,0.89235,3.06594,9,151,173,0.480555,1,0,2,0,0,0,3.3510521766840258,1.4704176955498922
8446597,Don Edwards,439,1448,0.88712,3.32339,16,208,183,0.416856,4,1,0,0,0,2,3.345958405018013,1.4692463109228162
8456830,Trevor Kidd,356,1014,0.90094,2.83941,19,140,187,0.52528,2,0,0,0,0,0,3.3310606706494026,1.465812470596483
8446011,Jon Casey,384,1246,0.88828,3.21593,16,170,173,0.45052,5,0,0,0,0,1,3.3185174675715365,1.4629121645538128
8451528,Gary Smith,510,1675,0.89384,3.39781,26,173,245,0.480392,2,1,0,0,0,1,3.317936672118065,1.4627776659633143
8451143,Bob Sauve,386,1377,0.87538,3.49163,8,182,138,0.357512,6,1,0,0,1,0,3.2999434148796953,1.4586018632826285
8447449,Jeff Hackett,465,1361,0.90189,2.90355,26,166,258,0.554838,0,0,0,0,0,0,3.266803582784942,1.4508649714578186
8450627,Daren Puppa,407,1204,0.89688,3.03343,19,179,201,0.493857,2,0,0,0,0,1,3.2628713364496544,1.4499429558708024
8460516,Dan Cloutier,321,874,0.89866,2.7704,15,139,164,0.510903,1,0,0,0,0,0,3.2621985092559833,1.4497851091417442
8468481,Rick DiPietro,309,871,0.90229,2.87172,16,130,160,0.517799,1,0,0,0,0,1,3.2518137417057176,1.4473456546532877
8450343,Pete Peeters,467,1427,0.88598,3.09045,21,246,193,0.413276,0,1,0,0,0,4,3.2007721439021486,1.4352683521783505
8451695,Wayne Stephenson,304,937,0.89173,3.07077,14,146,145,0.476973,0,0,1,0,0,2,3.193127999827603,1.4334469947504944
8447709,Glenn Healy,396,1361,0.88696,3.36697,13,166,170,0.429292,3,0,1,0,0,0,3.1743834280524994,1.4289666654931799
8446719,Bob Essensa,391,1270,0.89503,3.1467,18,173,180,0.460358,3,0,0,0,0,0,3.1648855216728107,1.426688789448222
8448865,Mike Liut,644,2218,0.88252,3.49313,25,293,264,0.409937,1,0,0,0,0,1,3.1632587572888546,1.426298122728205
8446794,Doug Favell,349,1096,0.90456,3.17254,18,124,201,0.575931,1,0,0,0,0,0,3.159837239106998,1.4254759482930968
8459463,Kevin Weekes,317,903,0.9025,2.87629,19,105,173,0.545741,0,0,0,0,0,0,3.157100545846096,1.4248178470951718
8447755,Denis Herron,428,1578,0.88929,3.70546,10,146,199,0.464953,3,1,0,0,1,0,3.1460685020584354,1.4221605363224472
8471715,Ondrej Pavelec,374,1069,0.90699,2.87588,18,156,196,0.524064,0,0,0,0,0,0,3.142099189437699,1.4212027099193272
8449096,Clint Malarchuk,314,1100,0.88508,3.47148,12,141,134,0.426751,5,0,0,0,0,0,3.1040998222155713,1.4119864307246077
8449959,Bruce Gamble,304,993,0.90618,3.22578,22,111,170,0.55921,0,0,0,0,0,1,3.061549324046862,1.4015645077283376
8447170,Gilles Gilbert,397,1290,0.88338,3.27368,18,192,159,0.400503,2,0,0,0,0,1,2.9781451006142814,1.3808156555368627
8462055,Marc Denis,320,982,0.90223,3.01749,16,112,162,0.50625,0,0,0,0,0,0,2.9725553124391944,1.3794095431679705
8447505,Glen Hanlon,423,1561,0.8835,3.60557,13,167,175,0.413711,3,0,0,0,0,0,2.870893009136719,1.3534852321375228
8450835,Pat Riggin,330,1135,0.87924,3.43458,11,153,119,0.360606,2,0,0,0,1,0,2.8329873620535317,1.343644489250674
8450132,Mike Palmateer,345,1183,0.88844,3.53395,17,149,155,0.449275,1,0,0,0,0,0,2.819651857532156,1.340159281693589
8447701,Brian Hayward,329,1241,0.8739,3.7246,8,143,107,0.325227,2,0,0,0,3,0,2.813805112660986,1.3386274079862113
8449868,Gerry Desjardins,324,1041,0.89238,3.29037,12,123,146,0.450617,0,0,0,0,0,1,2.776071427916598,1.3286841643958154
8449627,Greg Millen,582,2281,0.87329,3.87713,17,215,199,0.341924,2,0,0,0,0,0,2.746097001717068,1.3207144984322472
8451076,Jim Rutherford,442,1575,0.87945,3.65562,14,151,163,0.368778,2,0,0,0,0,0,2.6864098361360265,1.3046530402984842
8449784,Phil Myre,418,1481,0.8843,3.52859,14,149,167,0.399521,1,0,0,0,0,0,2.674468144093648,1.3014083994958543
8446082,Tim Cheveldae,321,1116,0.88288,3.49272,10,149,124,0.386292,0,0,0,0,0,1,2.58512933326447,1.2767945496252513
8445694,Richard Brodeur,373,1410,0.87209,3.86276,6,131,135,0.36193,1,0,0,0,0,0,2.421963921832191,1.2302146324080507
8448891,Ron Low,345,1463,0.86928,4.28928,4,102,110,0.31884,2,0,0,0,0,0,2.2610325198795245,1.182043869121618
